Municipios,Total
Alegría-Dulantzi,41.762
Amurrio,42.818
Aramaio,52.084
Artziniega,39.945
Armiñón,42.042
Arratzua-Ubarrundia,58.081
Asparrena,37.481
Ayala/Aiara,45.243
Baños de Ebro/Mañueta,30.071
Barrundia,46.6
Berantevilla,42.267
Bernedo,36.807
Campezo/Kanpezu,34.127
Zigoitia,54.936
Kripan,34.771
Kuartango,34.872
Elburgo/Burgelu,57.524
Elciego,40.225
Elvillar/Bilar,32.118
Iruraiz-Gauna,50.666
Labastida/Bastida,34.746
Lagrán,35.113
Laguardia,37.085
Lanciego/Lantziego,29.263
Lapuebla de Labarca,30.085
Leza,34.131
Laudio/Llodio,39.586
Arraia-Maeztu,41.965
Moreda de Álava/Moreda Araba,32.628
Navaridas,27.026
Okondo,39.103
Oyón-Oion,35.832
Peñacerrada-Urizaharra,38.447
Erriberagoitia/Ribera Alta,43.823
Ribera Baja/Erriberabeitia,46.925
Añana,34.179
Agurain/Salvatierra,36.415
Samaniego,32.098
San Millán/Donemiliaga,44.776
Urkabustaiz,40.668
Valdegovía/Gaubea,36.623
Harana/Valle de Arana,31.533
Villabuena de Álava/Eskuernaga,29.325
Legutio,45.094
Vitoria-Gasteiz,42.117
Yécora/Iekora,37.597
Zalduondo,42.674
Zambrana,40.277
Zuia,54.425
Iruña Oka/Iruña de Oca,45.119
Lantarón,43.856
Abengibre,34.249
Alatoz,25.953
Albacete,37.457
Albatana,24.65
Alborea,23.178
Alcadozo,26.677
Alcalá del Júcar,23.178
Alcaraz,27.829
Almansa,31.858
Alpera,27.312
Ayna,26.819
Balazote,30.116
Balsa de Ves,29.35
"Ballestero, El",27.709
Barrax,30.275
Bienservida,24.096
Bogarra,21.033
Bonete,30.695
"Bonillo, El",28.406
Carcelén,24.84
Casas de Juan Núñez,25.905
Casas de Lázaro,27.162
Casas de Ves,25.957
Casas-Ibáñez,29.083
Caudete,28.614
Cenizate,27.868
Corral-Rubio,31.596
Cotillas,21.945
Chinchilla de Monte-Aragón,31.469
Elche de la Sierra,26.406
Férez,23.83
Fuensanta,23.958
Fuente-Álamo,25.9
Fuentealbilla,27.517
"Gineta, La",31.837
Golosalvo,
Hellín,28.793
"Herrera, La",28.455
Higueruela,31.547
Hoya-Gonzalo,37.552
Jorquera,22.529
Letur,24.057
Lezuza,27.035
Liétor,24.654
Madrigueras,31.299
Mahora,28.647
Masegoso,33.976
Minaya,25.112
Molinicos,22.71
Montalvos,
Montealegre del Castillo,28.161
Motilleja,27.144
Munera,26.484
Navas de Jorquera,28.221
Nerpio,23.888
Ontur,24.41
Ossa de Montiel,26.537
Paterna del Madera,21.29
Peñascosa,26.615
Peñas de San Pedro,26.382
Pétrola,26.418
Povedilla,22.537
Pozohondo,25.498
Pozo-Lorente,29.258
Pozuelo,27.009
"Recueja, La",25.588
Riópar,25.153
Robledo,27.714
"Roda, La",31.238
Salobre,24.082
San Pedro,32.442
Socovos,21.924
Tarazona de la Mancha,26.312
Tobarra,26.787
Valdeganga,30.336
Vianos,25.677
Villa de Ves,
Villalgordo del Júcar,26.262
Villamalea,28.665
Villapalacios,29.126
Villarrobledo,31.856
Villatoya,23.16
Villavaliente,24.619
Villaverde de Guadalimar,20.989
Viveros,26.39
Yeste,24.197
Pozo Cañada,30.181
"Atzúbia, l'",30.891
Agost,30.407
Agres,31.44
Aigües,32.937
Albatera,29.376
Alcalalí,27.781
Alcosser,36.765
Alcoleja,30.274
Alcoi/Alcoy,31.566
Alfafara,32.244
"Alfàs del Pi, l'",32.799
Algorfa,25.84
Algueña,27.429
Alacant/Alicante,34.936
Almoradí,28.217
Almudaina,32.049
"Alqueria d'Asnar, l'",34.87
Altea,33.22
Aspe,29.736
Balones,30.79
Banyeres de Mariola,33.238
Benasau,56.139
Beneixama,34.579
Benejúzar,29.657
Benferri,30.649
Beniarbeig,31.242
Beniardà,31.91
Beniarrés,28.556
Benigembla,28.38
Benidoleig,29.822
Benidorm,29.146
Benifallim,38.87
Benifato,29.044
Benijófar,29.285
Benilloba,30.895
Benillup,41.206
Benimantell,27.466
Benimarfull,39.672
Benimassot,
Benimeli,29.213
Benissa,32.509
"Poble Nou de Benitatxell, el/Benitachell",29.337
Biar,33.599
Bigastro,30.686
Bolulla,24.253
Busot,32.922
Calp,30.717
Callosa d'en Sarrià,29.912
Callosa de Segura,29.943
"Campello, el",35.003
"Camp de Mirra, el/Campo de Mirra",28.129
Cañada,33.045
Castalla,30.756
Castell de Castells,27.247
Catral,28.957
Cocentaina,31.946
Confrides,24.776
Cox,32.33
Crevillent,28.857
Quatretondeta,21.796
Daya Nueva,27.977
Daya Vieja,28.386
Dénia,33.138
Dolores,27.277
Elx/Elche,31.689
Elda,27.927
Fageca,37.662
Famorca,
Finestrat,33.102
Formentera del Segura,24.307
Gata de Gorgos,31.582
Gaianes,31.608
Gorga,35.445
Granja de Rocamora,31.126
"Castell de Guadalest, el",30.045
Guardamar del Segura,29.421
"Fondó de les Neus, el/Hondón de las Nieves",26.759
Hondón de los Frailes,22.493
Ibi,33.385
Jacarilla,30.089
Xaló,29.918
Xàbia/Jávea,32.978
Xixona/Jijona,32.361
"Orxa, l'/Lorcha",34.823
Llíber,31.496
Millena,30.406
Monforte del Cid,31.762
Monòver/Monóvar,26.954
Mutxamel,39.097
Murla,26.321
Muro de Alcoy,31.576
Novelda,31.1
"Nucia, la",35.859
Ondara,31.395
Onil,31.82
Orba,28.895
Orxeta,30.24
Orihuela,29.671
Parcent,27.892
Pedreguer,31.756
Pego,30.064
Penàguila,33.57
Petrer,29.788
"Pinós, el/Pinoso",27.534
Planes,29.213
Polop,28.779
Rafal,29.469
"Ràfol d'Almúnia, el",30.362
Redován,29.722
Relleu,30.091
Rojales,26.26
"Romana, la",26.101
Sagra,28.159
Salinas,29.148
Sanet y Negrals,27.774
San Fulgencio,23.694
Sant Joan d'Alacant,38.379
San Miguel de Salinas,25.715
Santa Pola,29.628
Sant Vicent del Raspeig/San Vicente del Raspeig,35.712
Sax,29.51
Sella,30.403
Senija,29.842
Tàrbena,25.018
Teulada,31.407
Tibi,33.721
Tollos,
Tormos,38.601
"Torre de les Maçanes, la/Torremanzanas",30.697
Torrevieja,24.186
"Vall d'Alcalà, la",29.274
"Vall d'Ebo, la",31.568
"Vall de Gallinera, la",28.963
"Vall de Laguar, la",27.23
"Verger, el",29.752
"Vila Joiosa, la/Villajoyosa",30.887
Villena,30.301
"Poblets, els",31.207
Pilar de la Horadada,30.407
"Montesinos, Los",27.938
San Isidro,28.006
Abla,26.577
Abrucena,23.11
Adra,27.911
Albanchez,23.696
Alboloduy,24.241
Albox,29.714
Alcolea,21.61
Alcóntar,29.722
Alcudia de Monteagud,26.901
Alhabia,22.488
Alhama de Almería,26.834
Alicún,25.874
Almería,35.2
Almócita,26.66
Alsodux,26.18
Antas,29.762
Arboleas,23.953
Armuña de Almanzora,28.748
Bacares,25.885
Bayárcal,24.76
Bayarque,26.181
Bédar,22.557
Beires,26.598
Benahadux,30.62
Benitagla,
Benizalón,21.628
Bentarique,20.666
Berja,27.064
Canjáyar,22.845
Cantoria,26.682
Carboneras,32.632
Castro de Filabres,27.503
Cóbdar,30.842
Cuevas del Almanzora,27.991
Chercos,25.177
Chirivel,25.213
Dalías,27.775
Darrical,
Enix,25.471
Felix,25.627
Fines,28.207
Fiñana,24.079
Fondón,24.506
Gádor,23.934
"Gallardos, Los",27.556
Garrucha,28.218
Gérgal,23.646
Huécija,23.106
Huércal de Almería,35.212
Huércal-Overa,33.044
Íllar,23.416
Instinción,20.148
Laroya,25.077
Laujar de Andarax,21.01
Líjar,26.066
Lubrín,23.605
Lucainena de las Torres,25.174
Lúcar,24.786
Macael,30.023
María,26.141
Mojácar,29.054
Nacimiento,22.378
Níjar,27.125
Ohanes,18.959
Olula de Castro,32.566
Olula del Río,30.201
Oria,24.381
Padules,25.178
Partaloa,24.168
Paterna del Río,20.217
Pechina,28.888
Pulpí,35.449
Purchena,25.87
Rágol,20.259
Rioja,26.355
Roquetas de Mar,31.886
Santa Cruz de Marchena,24.606
Santa Fe de Mondújar,24.259
Senés,26.442
Serón,27.196
Sierro,24.468
Somontín,30.096
Sorbas,26.47
Suflí,26.261
Tabernas,25.946
Taberno,24.464
Tahal,28.948
Terque,24.269
Tíjola,29.258
Turre,23.538
Turrillas,24.613
Uleila del Campo,23.821
Urrácal,28.901
Velefique,27.422
Vélez-Blanco,25.664
Vélez-Rubio,27.113
Vera,30.773
Viator,29.13
Vícar,28.377
Zurgena,25.697
"Tres Villas, Las",24.751
"Ejido, El",29.523
"Mojonera, La",32.087
Balanegra,28.322
Adanero,32.088
"Adrada, La",26.052
Albornos,27.124
Aldeanueva de Santa Cruz,24.231
Aldeaseca,30.616
"Aldehuela, La",24.7
Amavida,27.057
"Arenal, El",26.695
Arenas de San Pedro,27.161
Arevalillo,26.544
Arévalo,32.966
Aveinte,30.364
Avellaneda,23.63
Ávila,35.239
"Barco de Ávila, El",28.732
"Barraco, El",28.63
Barromán,36.028
Becedas,22.667
Becedillas,23.63
Bercial de Zapardiel,27.24
"Berlanas, Las",34.754
Bernuy-Zapardiel,30.364
Berrocalejo de Aragona,26.544
Blascomillán,25.571
Blasconuño de Matacabras,30.364
Blascosancho,30.364
"Bohodón, El",27.819
Bohoyo,23.082
Bonilla de la Sierra,27.232
Brabos,26.544
Bularros,26.544
Burgohondo,25.538
Cabezas de Alambre,30.875
Cabezas del Pozo,30.364
Cabezas del Villar,23.695
Cabizuela,30.364
Canales,30.364
Candeleda,25.735
Cantiveros,30.364
Cardeñosa,32.044
"Carrera, La",25.119
Casas del Puerto,23.63
Casasola,26.544
Casavieja,23.325
Casillas,22.278
Castellanos de Zapardiel,46.778
Cebreros,25.275
Cepeda la Mora,23.964
Cillán,26.544
Cisla,33.387
"Colilla, La",31.016
Collado de Contreras,33.509
Collado del Mirón,23.63
Constanzana,30.364
Crespos,34.544
Cuevas del Valle,25.455
Chamartín,26.544
Donjimeno,30.364
Donvidas,30.364
Espinosa de los Caballeros,30.364
Flores de Ávila,33.68
Fontiveros,31.489
Fresnedilla,
"Fresno, El",32.46
Fuente el Saúz,26.325
Fuentes de Año,30.364
Gallegos de Altamiros,26.544
Gallegos de Sobrinos,26.544
Garganta del Villar,23.964
Gavilanes,24.352
Gemuño,33.648
Gilbuena,23.63
Gil García,23.63
Gimialcón,30.364
Gotarrendura,28.994
Grandes y San Martín,26.544
Guisando,27.265
Gutierre-Muñoz,30.364
Hernansancho,27.943
Herradón de Pinares,23.233
Herreros de Suso,27.745
Higuera de las Dueñas,22.278
"Hija de Dios, La",26.544
"Horcajada, La",24.744
Horcajo de las Torres,26.582
"Hornillo, El",29.496
Hoyocasero,28.906
"Hoyo de Pinares, El",23.852
Hoyorredondo,23.63
Hoyos del Collado,23.964
Hoyos del Espino,33.292
Hoyos de Miguel Muñoz,23.964
Hurtumpascual,26.544
Junciana,23.63
Langa,33.563
Lanzahíta,23.138
"Losar del Barco, El",25.289
"Llanos de Tormes, Los",23.63
Madrigal de las Altas Torres,27.424
Maello,29.671
Malpartida de Corneja,23.63
Mamblas,27.282
Mancera de Arriba,26.544
Manjabálago y Ortigosa de Rioalmar,26.544
Marlín,26.544
Martiherrero,35.059
Martínez,22.468
Mediana de Voltoya,39.348
Medinilla,23.63
Mengamuñoz,26.544
Mesegar de Corneja,23.63
Mijares,24.146
Mingorría,34.64
"Mirón, El",23.63
Mironcillo,28.552
Mirueña de los Infanzones,26.544
Mombeltrán,25.493
Monsalupe,30.364
Moraleja de Matacabras,30.364
Muñana,29.972
Muñico,26.544
Muñogalindo,33.134
Muñogrande,26.544
Muñomer del Peco,30.746
Muñopepe,37.319
Muñosancho,30.364
Muñotello,26.544
Narrillos del Álamo,26.544
Narrillos del Rebollar,26.544
Narros del Castillo,30.129
Narros del Puerto,26.544
Narros de Saldueña,23.333
Navacepedilla de Corneja,23.63
Nava de Arévalo,36.545
Nava del Barco,23.63
Navadijos,23.964
Navaescurial,23.63
Navahondilla,29.836
Navalacruz,34.819
Navalmoral,24.574
Navalonguilla,20.584
Navalosa,25.768
Navalperal de Pinares,24.647
Navalperal de Tormes,23.964
Navaluenga,25.743
Navaquesera,23.964
Navarredonda de Gredos,30.125
Navarredondilla,27.66
Navarrevisca,27.019
"Navas del Marqués, Las",27.442
Navatalgordo,25.254
Navatejares,23.63
Neila de San Miguel,23.63
Niharra,31.823
Ojos-Albos,26.544
Orbita,30.364
"Oso, El",28.756
Padiernos,31.046
Pajares de Adaja,33.24
Palacios de Goda,31.054
Papatrigo,25.979
"Parral, El",26.544
Pascualcobo,26.544
Pedro Bernardo,23.273
Pedro-Rodríguez,27.295
Peguerinos,25.607
Peñalba de Ávila,24.411
Piedrahíta,31.689
Piedralaves,23.926
Poveda,26.544
Poyales del Hoyo,21.424
Pozanco,30.364
Pradosegar,25.383
Puerto Castilla,23.63
Rasueros,25.57
Riocabado,30.871
Riofrío,30.083
Rivilla de Barajas,30.364
Salobral,31.088
Salvadiós,30.364
San Bartolomé de Béjar,23.63
San Bartolomé de Corneja,23.63
San Bartolomé de Pinares,24.744
Sanchidrián,28.836
Sanchorreja,26.544
San Esteban de los Patos,26.544
San Esteban del Valle,23.679
San Esteban de Zapardiel,30.364
San García de Ingelmos,26.544
San Juan de la Encinilla,30.364
San Juan de la Nava,23.014
San Juan del Molinillo,22.923
San Juan del Olmo,26.544
San Lorenzo de Tormes,23.63
San Martín de la Vega del Alberche,25.41
San Martín del Pimpollar,26.97
San Miguel de Corneja,23.63
San Miguel de Serrezuela,21.594
San Pascual,30.364
San Pedro del Arroyo,30.164
Santa Cruz del Valle,21.929
Santa Cruz de Pinares,22.874
Santa María del Arroyo,37.982
Santa María del Berrocal,30.04
Santa María de los Caballeros,23.63
Santa María del Tiétar,24.366
Santiago del Collado,24.419
Santo Domingo de las Posadas,30.364
Santo Tomé de Zabarcos,30.364
San Vicente de Arévalo,29.746
"Serrada, La",30.176
Serranillos,24.008
Sigeres,26.544
Sinlabajos,29.372
Solana de Ávila,18.194
Solana de Rioalmar,29.54
Solosancho,28.23
Sotalbo,31.114
Sotillo de la Adrada,25.802
"Tiemblo, El",25.463
Tiñosillos,34.297
Tolbaños,26.544
Tormellas,23.63
Tornadizos de Ávila,35.472
Tórtoles,23.63
"Torre, La",22.901
Umbrías,22.485
Vadillo de la Sierra,26.544
Valdecasa,26.544
Vega de Santa María,30.364
Velayos,28.558
Villaflor,26.544
Villafranca de la Sierra,30.045
Villanueva de Gómez,25.769
Villanueva del Aceral,30.364
Villanueva del Campillo,28.245
Villar de Corneja,23.63
Villarejo del Valle,25.621
Villatoro,27.828
Viñegra de Moraña,30.364
Vita,26.544
Zapardiel de la Cañada,26.544
Zapardiel de la Ribera,23.964
San Juan de Gredos,26.112
Santa María del Cubillo,38.648
Diego del Carpio,20.51
Santiago del Tormes,22.782
Villanueva de Ávila,27.392
Acedera,27.187
Aceuchal,25.63
Ahillones,23.437
Alange,26.212
"Albuera, La",23.255
Alburquerque,24.353
Alconchel,23.59
Alconera,25.094
Aljucén,29.686
Almendral,23.301
Almendralejo,28.404
Arroyo de San Serván,24.842
Atalaya,21.982
Azuaga,26.653
Badajoz,35.043
Barcarrota,25.197
Baterno,20.783
Benquerencia de la Serena,20.054
Berlanga,23.546
Bienvenida,25.736
Bodonal de la Sierra,25.164
Burguillos del Cerro,24.45
Cabeza del Buey,26.79
Cabeza la Vaca,22.343
Calamonte,28.006
Calera de León,23.778
Calzadilla de los Barros,26.713
Campanario,28.093
Campillo de Llerena,22.672
Capilla,22.137
Carmonita,20.702
"Carrascalejo, El",
Casas de Don Pedro,22.261
Casas de Reina,23.083
Castilblanco,23.645
Castuera,27.121
"Codosera, La",20.979
Cordobilla de Lácara,21.243
"Coronada, La",24.884
Corte de Peleas,23.298
Cristina,22.489
Cheles,23.413
Don Álvaro,29.007
Don Benito,31.961
Entrín Bajo,22.713
Esparragalejo,27.567
Esparragosa de la Serena,24.12
Esparragosa de Lares,25.683
Feria,23.277
Fregenal de la Sierra,28.336
