CPRO,CMUN,NMUN,num_bancos
01,001,Alegría-Dulantzi,2
01,002,Amurrio,8
01,003,Aramaio,2
01,009,Asparrena,1
01,014,Berantevilla,1
01,016,Bernedo,1
01,017,Campezo/Kanpezu,5
01,018,Zigoitia,2
01,022,Elciego,2
01,028,Labastida/Bastida,1
01,031,Laguardia,4
01,037,Arraia-Maeztu,2
01,042,Okondo,1
01,043,Oyón-Oion,4
01,046,Erriberagoitia/Ribera Alta,1
01,054,Urkabustaiz,2
01,055,Valdegovía/Gaubea,2
01,057,Villabuena de Álava/Eskuernaga,2
01,058,Legutio,2
01,059,Vitoria-Gasteiz,160
01,901,Iruña Oka/Iruña de Oca,2
02,003,Albacete,80
02,009,Almansa,1
02,024,Casas-Ibáñez,2
02,025,Caudete,1
02,032,Fuensanta,1
02,034,Fuentealbilla,1
02,037,Hellín,1
02,039,Higueruela,1
02,040,Hoya-Gonzalo,1
02,042,Letur,1
02,043,Lezuza,5
02,045,Madrigueras,1
02,049,Molinicos,2
02,060,Peñas de San Pedro,2
02,067,Riópar,3
02,069,"Roda, La",8
02,073,Tarazona de la Mancha,1
02,074,Tobarra,1
02,081,Villarrobledo,1
02,084,Villaverde de Guadalimar,1
03,003,Agres,1
03,006,Alcalalí,1
03,008,Alcoleja,1
03,009,Alcoy/Alcoi,42
03,011,"Alfàs del Pi, l'",8
03,012,Algorfa,2
03,013,Algueña,1
03,014,Alicante/Alacant,116
03,015,Almoradí,7
03,018,Altea,19
03,019,Aspe,9
03,021,Banyeres de Mariola,4
03,024,Benejúzar,4
03,026,Beniarbeig,1
03,027,Beniardá,1
03,029,Benigembla,1
03,030,Benidoleig,1
03,031,Benidorm,169
03,034,Benijófar,3
03,037,Benimantell,1
03,038,Benimarfull,1
03,041,Benissa,4
03,042,"Benitachell/Poble Nou de Benitatxell, el",1
03,044,Bigastro,5
03,045,Bolulla,1
03,046,Busot,1
03,047,Calp,10
03,048,Callosa d'En Sarrià,3
03,050,"Campello, el",3
03,053,Castalla,1
03,054,Castell de Castells,1
03,055,Catral,4
03,056,Cocentaina,2
03,059,Crevillent,2
03,060,Quatretondeta,1
03,061,Daya Nueva,1
03,063,Dénia,39
03,064,Dolores,6
03,065,Elche/Elx,55
03,066,Elda,12
03,069,Finestrat,7
03,070,Formentera del Segura,2
03,071,Gata de Gorgos,5
03,074,Granja de Rocamora,1
03,076,Guardamar del Segura,10
03,078,Hondón de los Frailes,2
03,080,Jacarilla,1
03,081,Xaló,6
03,082,Jávea/Xàbia,21
03,083,Jijona/Xixona,2
03,088,Monforte del Cid,2
03,089,Monóvar/Monòver,1
03,092,Muro de Alcoy,4
03,093,Novelda,12
03,094,"Nucia, la",12
03,095,Ondara,6
03,097,Orba,3
03,099,Orihuela,74
03,100,Parcent,1
03,101,Pedreguer,5
03,102,Pego,2
03,104,Petrer,7
03,106,Planes,1
03,107,Polop,1
03,109,Rafal,1
03,111,Redován,4
03,113,Rojales,10
03,118,San Fulgencio,7
03,119,Sant Joan d'Alacant,8
03,120,San Miguel de Salinas,2
03,121,Santa Pola,19
03,122,San Vicente del Raspeig/Sant Vicent del Raspeig,24
03,123,Sax,7
03,124,Sella,3
03,128,Teulada,7
03,129,Tibi,2
03,133,Torrevieja,47
03,135,"Vall d'Ebo, la",1
03,136,Vall de Gallinera,1
03,137,"Vall de Laguar, la",1
03,138,"Verger, el",7
03,139,"Villajoyosa/Vila Joiosa, la",10
03,901,"Poblets, els",1
