Municipio,num_bancos,poblacion,renta
alegría dulantzi,2,2971.0,41.762
amurrio,8,10330.0,42.818
aramaio,2,1381.0,52.084
asparrena,1,1611.0,37.481
berantevilla,1,459.0,42.267
bernedo,1,546.0,36.807
campezo/kanpezu,5,1085.0,34.127
zigoitia,2,1844.0,54.936
elciego,2,955.0,40.225
labastida/bastida,1,1565.0,34.746
laguardia,4,1478.0,37.085
arraia maeztu,2,822.0,41.965
okondo,1,1194.0,39.103
oyón oion,4,3413.0,35.832
erriberagoitia/ribera alta,1,845.0,43.823
urkabustaiz,2,1462.0,40.668
valdegovía/gaubea,2,1072.0,36.623
villabuena de álava/eskuernaga,2,290.0,29.325
legutio,2,2086.0,45.094
vitoria gasteiz,160,257968.0,42.117
iruña oka/iruña de oca,2,3625.0,45.119
albacete,80,174137.0,37.457
almansa,1,24281.0,31.858
casas ibáñez,2,4591.0,29.083
caudete,1,10249.0,28.614
fuensanta,1,287.0,23.958
fuentealbilla,1,1799.0,27.517
hellín,1,30812.0,28.793
higueruela,1,1142.0,31.547
hoya gonzalo,1,593.0,37.552
letur,1,922.0,24.057
lezuza,5,1305.0,27.035
madrigueras,1,4658.0,31.299
molinicos,2,785.0,22.71
peñas de san pedro,2,1466.0,26.382
riópar,3,1353.0,25.153
"roda, la",8,15610.0,31.238
tarazona de la mancha,1,6117.0,26.312
tobarra,1,7947.0,26.787
villarrobledo,1,25262.0,31.856
villaverde de guadalimar,1,310.0,20.989
agres,1,610.0,31.44
alcalalí,1,1406.0,27.781
alcoleja,1,186.0,30.274
alcoy/alcoi,42,,
"alfàs del pi, l'",8,20160.0,32.799
algorfa,2,3684.0,25.84
algueña,1,1342.0,27.429
alicante/alacant,116,,
almoradí,7,22464.0,28.217
altea,19,23963.0,33.22
aspe,9,21969.0,29.736
banyeres de mariola,4,7307.0,33.238
benejúzar,4,5697.0,29.657
beniarbeig,1,2384.0,31.242
beniardá,1,,
benigembla,1,559.0,28.38
benidoleig,1,1219.0,29.822
benidorm,169,74663.0,29.146
benijófar,3,3471.0,29.285
benimantell,1,548.0,27.466
benimarfull,1,447.0,39.672
benissa,4,12317.0,32.509
"benitachell/poble nou de benitatxell, el",1,,
bigastro,5,7431.0,30.686
bolulla,1,486.0,24.253
busot,1,3629.0,32.922
calp,10,26821.0,30.717
callosa d'en sarrià,3,7959.0,29.912
"campello, el",3,30600.0,35.003
castalla,1,11622.0,30.756
castell de castells,1,444.0,27.247
catral,4,9423.0,28.957
cocentaina,2,11411.0,31.946
crevillent,2,30585.0,28.857
quatretondeta,1,134.0,21.796
daya nueva,1,1832.0,27.977
dénia,39,46942.0,33.138
dolores,6,8102.0,27.277
elche/elx,55,,
elda,12,53818.0,27.927
finestrat,7,9352.0,33.102
formentera del segura,2,4749.0,24.307
gata de gorgos,5,6659.0,31.582
granja de rocamora,1,2739.0,31.126
guardamar del segura,10,18111.0,29.421
hondón de los frailes,2,1310.0,22.493
jacarilla,1,2122.0,30.089
xaló,6,3042.0,29.918
jávea/xàbia,21,,
jijona/xixona,2,,
monforte del cid,2,8967.0,31.762
monóvar/monòver,1,,
muro de alcoy,4,9345.0,31.576
novelda,12,26213.0,31.1
"nucia, la",12,18783.0,35.859
ondara,6,7522.0,31.395
orba,3,2387.0,28.895
orihuela,74,83720.0,29.671
parcent,1,1021.0,27.892
pedreguer,5,8687.0,31.756
pego,2,10632.0,30.064
petrer,7,34076.0,29.788
planes,1,696.0,29.213
polop,1,5650.0,28.779
rafal,1,4900.0,29.469
redován,4,8285.0,29.722
rojales,10,17162.0,26.26
san fulgencio,7,9433.0,23.694
