Localización,Precio m2 octubre 2025,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo
España,14.5 €/m2,+ 0.1 %,- 0.7 %, + 10.9 %,14.6 €/m2 jun 2025,- 1.2 %
Andalucía,12.4 €/m2,+ 0.7 %,- 1.3 %, + 11.8 %,12.7 €/m2 jun 2025,- 2.3 %
Almería provincia,8.3 €/m2,+ 0.9 %,- 6.4 %, + 7.9 %,8.8 €/m2 jul 2025,- 6.4 %
Almería,9.0 €/m2,+ 1.1 %,- 2.3 %, + 5.7 %,9.2 €/m2 jul 2025,- 2.3 %
Cádiz provincia,10.0 €/m2,- 0.9 %,- 5.1 %, + 6.5 %,11.2 €/m2 jun 2006,- 10.3 %
Cádiz,11.8 €/m2,+ 1.3 %,+ 0.5 %, + 6.1 %,11.9 €/m2 ago 2025,- 1.0 %
Córdoba provincia,8.4 €/m2,- 0.2 %,- 1.3 %, + 9.5 %,8.6 €/m2 jul 2025,- 1.3 %
Córdoba,9.0 €/m2,+ 0.3 %,+ 0.7 %, + 6.2 %,9.0 €/m2 abr 2025,- 0.3 %
Granada provincia,9.8 €/m2,- 0.7 %,- 2.0 %, + 5.6 %,10.0 €/m2 jul 2025,- 2.0 %
Granada,10.4 €/m2,- 0.3 %,- 0.3 %, + 4.1 %,10.4 €/m2 ago 2025,- 0.4 %
Huelva provincia,8.5 €/m2,- 4.9 %,- 13.7 %, + 7.8 %,11.9 €/m2 jul 2006,- 28.1 %
Huelva,9.4 €/m2,+ 0.0 %,+ 2.2 %, + 10.2 %,9.4 €/m2 oct 2025,+ 0.0 %
Jaén provincia,6.4 €/m2,- 1.9 %,- 4.3 %, + 9.8 %,6.7 €/m2 jul 2025,- 4.3 %
Jaén,8.0 €/m2,+ 0.1 %,- 1.1 %, + 7.6 %,8.1 €/m2 jul 2025,- 1.1 %
Málaga provincia,16.5 €/m2,- 0.6 %,- 1.1 %, + 11.6 %,16.7 €/m2 jul 2025,- 1.1 %
Málaga,15.4 €/m2,- 0.2 %,- 1.1 %, + 3.8 %,15.6 €/m2 mayo 2025,- 1.6 %
Sevilla provincia,11.7 €/m2,- 0.3 %,+ 0.3 %, + 10.7 %,11.8 €/m2 ago 2025,- 0.9 %
Sevilla,12.9 €/m2,+ 0.9 %,+ 2.2 %, + 9.7 %,12.9 €/m2 oct 2025,+ 0.0 %
Aragón,10.1 €/m2,+ 0.8 %,- 0.4 %, + 8.5 %,10.2 €/m2 ago 2025,- 1.0 %
Huesca provincia,9.1 €/m2,+ 1.3 %,- 5.9 %, + 0.7 %,9.7 €/m2 jun 2025,- 6.2 %
Huesca,8.4 €/m2,- 0.5 %,- 7.1 %,- 1.7 %,9.1 €/m2 jul 2025,- 7.1 %
Teruel provincia,7.6 €/m2,- 0.4 %,- 2.0 %, + 12.9 %,7.7 €/m2 jul 2025,- 2.0 %
Teruel,8.5 €/m2,- 1.3 %,+ 2.4 %, + 13.4 %,8.7 €/m2 sep 2025,- 1.3 %
Zaragoza provincia,10.6 €/m2,+ 1.1 %,+ 2.0 %, + 9.8 %,10.6 €/m2 oct 2025,+ 0.0 %
Zaragoza,11.1 €/m2,+ 1.4 %,+ 2.2 %, + 9.6 %,11.1 €/m2 oct 2025,+ 0.0 %
Asturias,9.9 €/m2,+ 0.0 %,- 0.7 %, + 7.4 %,12.5 €/m2 feb 2008,- 20.6 %
Asturias,9.9 €/m2,+ 0.0 %,- 0.7 %, + 7.4 %,12.5 €/m2 feb 2008,- 20.6 %
Oviedo,10.5 €/m2,+ 1.3 %,+ 1.6 %, + 8.9 %,10.5 €/m2 oct 2025,+ 0.0 %
Baleares,19.1 €/m2,- 0.5 %,- 3.1 %, + 9.0 %,20.2 €/m2 jun 2025,- 5.2 %
Baleares,19.1 €/m2,- 0.5 %,- 3.1 %, + 9.0 %,20.2 €/m2 jun 2025,- 5.2 %
Palma de Mallorca,18.2 €/m2,- 1.0 %,+ 0.4 %, + 6.0 %,18.4 €/m2 sep 2025,- 1.0 %
Canarias,15.1 €/m2,+ 0.3 %,+ 0.3 %, + 8.1 %,15.1 €/m2 jun 2025,- 0.3 %
Las Palmas,15.3 €/m2,+ 0.2 %,+ 1.2 %, + 8.1 %,15.3 €/m2 jun 2025,+ 0.0 %
Las Palmas de Gran Canaria,13.9 €/m2,+ 0.8 %,+ 0.4 %, + 8.3 %,14.1 €/m2 jun 2025,- 1.3 %
Santa Cruz de Tenerife provincia,14.9 €/m2,+ 0.4 %,- 0.4 %, + 8.7 %,15.0 €/m2 jun 2025,- 0.5 %
