CPRO,CMUN,NOMBRE,Poblacion,PROVINCIA,num_bancos,alquiler_m2,renta_media,pop_score,renta_norm,renta_score,alquiler_norm,alquiler_score,competition_score,score_total,dist_m,dist_km,dist_score,score_with_distance
30,019,Cieza,35361,Murcia,0.0,9.3,12.446,0.8274790177183712,0.1368389149871193,0.8631610850128807,0.0909090909090909,0.9090909090909092,1.0,0.8725649699581165,3175.1372822994945,3.1751372822994943,0.7279566871489199,0.8570712253714166
30,039,Totana,33663,Murcia,0.0,9.3,12.446,0.7794952948823014,0.1368389149871193,0.8631610850128807,0.0909090909090909,0.9090909090909092,1.0,0.860569039249099,3961.127903698501,3.961127903698501,0.6729307915439628,0.8404649412806915
23,002,Alcalá la Real,21581,Jaén,0.0,8.0,11.847,0.4380704778591008,0.0460675859978785,0.9539324140021216,0.0121212121212121,0.987878787878788,1.0,0.8357569027354269,3850.38759714006,3.85038759714006,0.6804242626436523,0.8191141198684508
14,056,Puente Genil,29844,Córdoba,0.0,9.0,12.386,0.6715743069488795,0.1277466282770116,0.8722533717229883,0.0727272727272727,0.9272727272727272,1.0,0.8422257758307464,5339.184134844846,5.339184134844846,0.5863030848416788,0.814805487510489
06,153,Villanueva de la Serena,25784,Badajoz,0.0,8.1,12.068,0.5568429084126939,0.0795575087134414,0.9204424912865584,0.0181818181818181,0.9818181818181818,1.0,0.8488643936366703,8751.440674851554,8.751440674851555,0.4168019677415461,0.8025719908621926
03,090,Mutxamel,27761,Alicante/Alacant,0.0,11.8,12.313,0.6127108825274818,0.1166843461130476,0.8833156538869523,0.2424242424242425,0.7575757575757576,1.0,0.7900637042749385,1399.8698680407806,1.3998698680407806,0.8693695486014598,0.7985607590242085
03,140,Villena,34385,Alicante/Alacant,0.0,11.8,12.313,0.7998982677254359,0.1166843461130476,0.8833156538869523,0.2424242424242425,0.7575757575757576,1.0,0.8368605505744269,8000.340327353467,8.000340327353467,0.4493136724837117,0.7953376707789931
23,087,Torredonjimeno,13261,Jaén,0.0,8.0,11.847,0.2029558877553904,0.0460675859978785,0.9539324140021216,0.0121212121212121,0.987878787878788,1.0,0.7769782552094993,2424.191902784977,2.424191902784977,0.7847271585997162,0.7778084948584508
30,041,"Unión, La",21153,Murcia,0.0,9.3,12.446,0.4259756407720349,0.1368389149871193,0.8631610850128807,0.0909090909090909,0.9090909090909092,1.0,0.7721891257215324,1961.6202624443129,1.9616202624443129,0.8218790579122821,0.777513047027684
30,038,"Torres de Cotillas, Las",22406,Murcia,0.0,9.3,12.446,0.461384124113375,0.1368389149871193,0.8631610850128807,0.0909090909090909,0.9090909090909092,1.0,0.7810412465568675,3264.6871205876964,3.2646871205876966,0.7214669479109475,0.7746582859876615
23,024,"Carolina, La",14681,Jaén,0.0,8.0,11.847,0.2430836182778986,0.0460675859978785,0.9539324140021216,0.0121212121212121,0.987878787878788,1.0,0.7870101878401263,4159.962459137277,4.159962459137277,0.6596827469856851,0.7733679620342933
23,010,Bailén,17264,Jaén,0.0,8.0,11.847,0.3160765252776443,0.0460675859978785,0.9539324140021216,0.0121212121212121,0.987878787878788,1.0,0.8052584145900628,7903.5958360675795,7.90359583606758,0.4536816294715933,0.7675894733273694
14,042,Montilla,22333,Córdoba,0.0,9.0,12.386,0.4593212196569362,0.1277466282770116,0.8722533717229883,0.0727272727272727,0.9272727272727272,1.0,0.7891625040077607,6903.111537536448,6.903111537536448,0.5014200260673686,0.7583329527998613
13,056,Miguelturra,15834,Ciudad Real,0.0,7.8,12.529,0.2756662051035691,0.1494165782694348,0.8505834217305651,0.0,1.0,1.0,0.7516790910546466,2635.6034898488124,2.6356034898488123,0.7683112542358396,0.7534611085383457
03,049,Callosa de Segura,19658,Alicante/Alacant,0.0,11.8,12.313,0.3837284878627744,0.1166843461130476,0.8833156538869523,0.2424242424242425,0.7575757575757576,1.0,0.7328181056087616,1505.0634127886626,1.5050634127886626,0.8602722747637214,0.7464739094467929
04,101,Viator,6271,Almería,0.0,9.0,11.543,0.0054257213100856,0.0,1.0,0.0727272727272727,0.9272727272727272,1.0,0.7331746121457032,1664.852017713033,1.6648520177130333,0.8466353455462049,0.7453311192957569
11,016,Chipiona,19915,Cádiz,0.0,11.8,12.335,0.3909910419080453,0.1200181845734204,0.8799818154265795,0.2424242424242425,0.7575757575757576,1.0,0.7331335168129116,1914.5033562902488,1.9145033562902487,0.8257606349706217,0.7430578509012375
04,903,"Mojonera, La",8677,Almería,0.0,9.0,11.543,0.0734167914770961,0.0,1.0,0.0727272727272727,0.9272727272727272,1.0,0.7501723796874559,3974.4822389620463,3.974482238962046,0.6720327369835676,0.7418002751120392
18,122,Loja,20846,Granada,0.0,10.4,12.709,0.4173001384689292,0.1766934383997576,0.8233065616002424,0.1575757575757576,0.8424242424242424,1.0,0.7354190479434021,2501.947315459588,2.501947315459588,0.7786491407561739,0.7400508436019131
30,033,Puerto Lumbreras,17822,Murcia,0.0,9.3,12.446,0.3318450278350807,0.1368389149871193,0.8631610850128807,0.0909090909090909,0.9090909090909092,1.0,0.7486564724872938,4146.155058141036,4.146155058141035,0.6605942265208435,0.7392212318480311
21,013,Bollullos Par del Condado,14359,Huelva,0.0,9.4,12.008,0.2339842314974425,0.0704652220033338,0.9295347779966662,0.096969696969697,0.903030303030303,1.0,0.7525442837304362,4663.254205824882,4.663254205824882,0.6273031134839041,0.7391255869183077
21,035,Gibraleón,13144,Huelva,0.0,9.4,12.008,0.1996495888320569,0.0704652220033338,0.9295347779966662,0.096969696969697,0.903030303030303,1.0,0.7439606230640898,3623.306139575525,3.623306139575525,0.6960522052221485,0.7388275782953102
14,007,Baena,18436,Córdoba,0.0,9.0,12.386,0.349196032441292,0.1277466282770116,0.8722533717229883,0.0727272727272727,0.9272727272727272,1.0,0.7616312072038496,6819.115776712499,6.819115776712499,0.5056494796675609,0.734204593539247
30,021,Fuente Álamo de Murcia,18719,Murcia,0.0,9.3,12.446,0.3571933195806369,0.1368389149871193,0.8631610850128807,0.0909090909090909,0.9090909090909092,1.0,0.7549935454236829,5831.118998501562,5.8311189985015615,0.5581587271181294,0.7339041006052305
30,018,Ceutí,12842,Murcia,0.0,9.3,12.446,0.1911153813547348,0.1368389149871193,0.8631610850128807,0.0909090909090909,0.9090909090909092,1.0,0.7134740608672073,1147.4591245131328,1.1474591245131327,0.8915926577212703,0.7325581962444281
18,062,Churriana de la Vega,16693,Granada,0.0,10.4,12.709,0.2999406561731709,0.1766934383997576,0.8233065616002424,0.1575757575757576,0.8424242424242424,1.0,0.7060791773694625,499.113866530255,0.4991138665302549,0.9513137198585514,0.7323543069218648
03,079,Ibi,24210,Alicante/Alacant,0.0,11.8,12.313,0.5123632972560545,0.1166843461130476,0.8833156538869523,0.2424242424242425,0.7575757575757576,1.0,0.7649768079570816,7898.853877527598,7.898853877527598,0.4538968144352004,0.7316468086511656
21,055,Palos de la Frontera,12663,Huelva,0.0,9.4,12.008,0.1860570265916862,0.0704652220033338,0.9295347779966662,0.096969696969697,0.903030303030303,1.0,0.7405624825039971,4720.992241497846,4.720992241497847,0.6236916245762174,0.7280406048688778
23,088,Torreperogil,7113,Jaén,0.0,8.0,11.847,0.0292197699720236,0.0460675859978785,0.9539324140021216,0.0121212121212121,0.987878787878788,1.0,0.7335442257636576,3916.639523448874,3.916639523448874,0.6759312209009126,0.7273714038140775
30,029,Mula,17585,Murcia,0.0,9.3,12.446,0.3251476530929437,0.1368389149871193,0.8631610850128807,0.0909090909090909,0.9090909090909092,1.0,0.7469821288017596,6478.144216719719,6.478144216719719,0.5231879964475649,0.7230041860495243
06,122,"Santos de Maimona, Los",8070,Badajoz,0.0,8.1,12.068,0.0562635996269816,0.0795575087134414,0.9204424912865584,0.0181818181818181,0.9818181818181818,1.0,0.7237195664402423,3661.7889499591865,3.6617889499591865,0.6933787481255326,0.7204687644779518
06,025,Calamonte,6120,Badajoz,0.0,8.1,12.068,0.0011586175714245,0.0795575087134414,0.9204424912865584,0.0181818181818181,0.9818181818181818,1.0,0.7099433209263529,2716.783483837186,2.716783483837186,0.7620993521591441,0.7155314671298661
18,145,Ogíjares,15063,Granada,0.0,10.4,12.709,0.2538785429677565,0.1766934383997576,0.8233065616002424,0.1575757575757576,0.8424242424242424,1.0,0.6945636490681089,1225.29361847014,1.22529361847014,0.884679928725407,0.7149332504599621
