id,amenity,atm,brand,name,coordinates
way/1225032821,bank,yes,La Caixa,La Caixa,"[[2.1197244, 41.3741166], [2.1197334, 41.3741062], [2.1197763, 41.3740571], [2.1197866, 41.3740453]]"
way/27958085,bank,,Bankinter,Bankinter,"[-3.7108299, 40.6173292]"
node/29999788,bank,yes,Unicaja Banco,Unicaja Banco,"[-5.6828886, 43.5373538]"
node/29999789,bank,yes,Banco Sabadell,SabadellHerrero,"[-5.6853102, 43.5388191]"
node/29999790,bank,yes,Caja Rural,Caja Rural,"[-5.685667, 43.538024]"
node/29999791,bank,,Unicaja Banco,Unicaja Banco,"[-5.6857428, 43.5403742]"
way/31529799,bank,yes,,Banco de España,"[-2.9378353, 35.2930461]"
way/33197578,bank,,,Banco de España,"[-0.4845212, 38.3460918]"
way/42734023,bank,yes,Caja Rural,Caja Rural,"[-7.0203266, 43.5374305]"
way/44594148,bank,,Banco Sabadell,Sabadell Guipuzcoano,"[-1.9820182, 43.3190141]"
way/45657261,bank,yes,BBVA,BBVA,"[-5.5713989, 42.5982042]"
node/47215969,bank,yes,,Evo Banco,"[-3.7094244, 40.4114612]"
way/51954989,bank,yes,,Caja Viva-Caja Rural,"[-3.6964811, 42.34348]"
node/60038167,bank,yes,Ibercaja,Ibercaja,"[-0.8966738, 41.638636]"
way/60678210,bank,yes,BBVA,BBVA,"[-4.7270075, 41.6502138]"
way/72865787,bank,,,Banc d'Espanya,"[2.6506396, 39.5709511]"
way/77758588,bank,,,Banco de España,"[-16.2552513, 28.4697696]"
node/89277438,bank,yes,Caixabank,Caixabank,"[-3.6451679, 37.1080391]"
way/96064108,bank,,,Aurrezki Kutxa,"[-1.9842456, 43.0343249]"
way/101219228,bank,yes,,Caja Rural Castilla-La Mancha,"[-4.0301894, 39.8678733]"
node/106914680,bank,,Banco Santander,Banco Santander,"[-0.3743822, 39.4530108]"
node/106914688,bank,,Caixabank,Caixabank,"[-0.374966, 39.4530454]"
way/107103365,bank,,Kutxabank,Kutxabank,"[-3.0733087, 43.3174194]"
way/107531388,bank,yes,BBVA,BBVA,"[-2.9298834, 43.262241]"
way/113752901,bank,yes,BBVA,BBVA,"[-7.3636685, 43.4286884]"
way/116765001,bank,yes,BBVA,BBVA,"[-5.9634002, 37.3936848]"
way/117574086,bank,,Crédit Agricole,Crédit Agricole,"[-3.690971, 40.425993]"
way/119571938,bank,,,Banco de España,"[-5.9940059, 37.3877859]"
way/121753329,bank,,Banco Sabadell,Banco Sabadell,"[-0.9416026, 37.889438]"
way/147858916,bank,,Banco Santander,Banco Santander,"[2.1212693, 41.3750934]"
node/151223386,atm,,La Caixa,La Caixa,"[-3.6897821, 40.4874481]"
node/151223403,atm,,Caixabank,Caixabank,"[-3.6897017, 40.4861194]"
way/152732033,bank,yes,,Caja Almendralejo,"[-6.4050133, 38.6853644]"
node/158689472,atm,,BBVA,Servired,"[-3.6927429, 40.4860015]"
way/166831986,bank,yes,,Banco de Valencia,"[-0.6779689, 38.1319741]"
node/167302796,bank,yes,BBVA,BBVA,"[-3.6970951, 40.4159605]"
node/167302851,bank,yes,Caixabank,Caixabank,"[-3.6970294, 40.4152683]"
way/167322889,bank,yes,Banco Santander,Banco Santander,"[-0.6746517, 38.1413699]"
node/170951521,bank,yes,Banco Santander,Banco Santander,"[-3.701739, 40.4049613]"
node/170992436,bank,yes,BBVA,BBVA,"[-3.6968298, 40.4034105]"
node/170992736,atm,,La Caixa,La Caixa,"[-3.6958776, 40.4049622]"
way/172095090,bank,yes,Banco Santander,Banco Santander,"[-1.215822, 41.7900121]"
way/172589948,bank,,Kutxabank,Kutxabank,"[-1.9831168, 43.3208079]"
node/173535069,atm,,,Servired,"[-3.6942996, 40.4879991]"
node/173535079,atm,,,Servired,"[-3.6939829, 40.487891]"
node/178820960,bank,yes,BBVA,BBVA,"[-3.709523, 40.4156013]"
node/178821057,atm,,Banco Santander,Santander,"[-3.7081195, 40.4160241]"
node/178821079,bank,,Banco Santander,Banco Santander,"[-3.7084882, 40.4177059]"
node/178821200,atm,,La Caixa,La Caixa,"[-3.7068957, 40.4163626]"
node/178821217,atm,,Banco Santander,Santander,"[-3.7057872, 40.4161692]"
