Localización;Precio_2015;Precio_2016;Precio_2017;Precio_2018;Precio_2019;Precio_2020;Precio_2021;Precio_2022;Precio_2023
A Coruña;6.0;6.4;7.1;7.5;8.0;8.1;8.3;8.8;9.4
A Coruña provincia;5.1;5.2;5.5;5.8;6.3;6.8;7.0;7.4;7.4
Albacete;4.9;5.2;5.5;5.9;6.3;6.2;6.8;7.1;7.5
Albacete provincia;4.7;4.9;5.3;5.5;5.7;5.9;6.2;6.4;6.4
Alicante;7.6;7.6;7.6;7.6;7.6;8.4;9.2;10.0;10.8
Alicante / Alacant;5.6;6.2;6.7;7.1;7.2;7.4;7.6;9.3;9.3
Alicante/Alacant;5.3;5.8;6.2;6.7;6.9;7.1;7.4;8.6;8.6
Almería;5.2;5.3;5.6;6.0;6.6;6.6;6.9;7.6;7.9
Almería provincia;4.8;4.9;5.2;5.6;5.8;6.1;6.4;6.9;6.9
Andalucía;6.2;6.5;7.2;7.8;8.4;8.6;8.7;9.4;10.7
Aragón;6.1;6.4;6.8;7.2;7.7;7.8;7.9;8.2;8.7
Asturias;6.0;6.3;6.6;6.9;7.2;7.3;7.5;7.8;8.4
Badajoz;5.0;5.2;5.4;5.7;5.8;6.2;6.4;6.6;7.1
Badajoz provincia;4.4;4.5;4.7;4.9;5.1;5.3;5.6;5.9;5.9
Baleares;8.2;10.2;11.8;12.2;12.4;11.5;12.0;13.6;16.1
Barcelona;13.3;15.8;16.3;16.1;16.0;14.6;14.7;18.3;20.5
Barcelona provincia;11.0;13.1;14.1;14.3;14.1;13.8;13.6;15.6;15.6
Bilbao;10.5;11.1;11.4;12.0;12.3;12.6;12.5;13.1;13.6
Burgos;5.9;6.1;6.5;7.0;7.2;7.2;7.5;7.8;8.4
Burgos provincia;5.4;5.6;5.9;6.5;6.7;6.8;6.9;7.3;7.3
Canarias;6.9;7.3;8.7;9.6;9.9;9.8;10.2;11.5;12.8
Cantabria;6.0;6.6;6.8;7.3;7.6;7.8;8.1;8.6;9.3
Castellón de la Plana;6.3;6.3;6.3;6.3;6.3;6.6;6.9;7.2;7.5
Castellón de la Plana / Castello de la Plana;4.4;4.8;5.3;5.5;5.9;6.3;6.3;7.0;7.0
Castellón/Castelló;4.6;4.8;6.4;5.2;5.6;6.0;6.2;6.9;6.9
Castilla y León;5.2;5.4;5.8;6.1;6.4;6.7;6.8;7.1;7.7
Castilla-La Mancha;4.5;4.6;4.8;5.1;5.4;5.6;5.9;6.1;6.7
