Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2023;11.543
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2022;10.605
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2021;10.103
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2020;9.709
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2019;9.436
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2018;9.072
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2017;8.569
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2016;8.207
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2015;8.029
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2023;12.335
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2022;11.396
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2021;10.712
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2020;10.113
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2019;10.055
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2018;9.509
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2017;9.028
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2016;8.696
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2015;8.489
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2023;12.386
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2022;11.569
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2021;10.979
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2020;10.314
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2019;10.182
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2018;9.710
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2017;9.290
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2016;8.892
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2015;8.614
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2023;12.709
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2022;11.754
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2021;11.100
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2020;10.463
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2019;10.380
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2018;9.885
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2017;9.440
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2016;9.090
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2015;8.877
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2023;12.008
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2022;11.199
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2021;10.609
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2020;10.112
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2019;9.958
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2018;9.416
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2017;8.948
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2016;8.585
