CPRO,CMUN,NOMBRE,PROVINCIA,Poblacion_2028,renta_2028,score_total
03,140,Villena,Alicante/Alacant,33907.0,13.143,0.9004391417464925
30,039,Totana,Murcia,34274.0,13.337,0.8921656407261909
03,090,Mutxamel,Alicante/Alacant,28212.0,13.143,0.8463497004830263
06,153,Villanueva de la Serena,Badajoz,25607.0,12.911,0.8356706737944697
03,079,Ibi,Alicante/Alacant,24128.0,13.143,0.807561065167838
15,019,Carballo,"Coruña, A",31587.0,,0.8013031684444065
41,053,Lebrija,Sevilla,27904.0,13.878,0.7988729519911382
46,094,Catarroja,Valencia/València,29996.0,,0.7861923166357718
30,038,"Torres de Cotillas, Las",Murcia,22580.0,13.337,0.7810994552766779
14,056,Puente Genil,Córdoba,29449.0,,0.7809970709165241
46,186,Paiporta,Valencia/València,28531.0,,0.7722781759068906
03,049,Callosa de Segura,Alicante/Alacant,20308.0,13.143,0.7712798244959431
18,122,Loja,Granada,20306.0,13.586,0.7444087277888753
30,033,Puerto Lumbreras,Murcia,18418.0,13.337,0.7415699988168805
30,029,Mula,Murcia,17687.0,13.337,0.7346271750129132
21,013,Bollullos Par del Condado,Huelva,14403.0,12.982,0.7249547548524276
18,062,Churriana de la Vega,Granada,18000.0,13.586,0.722507015487988
21,055,Palos de la Frontera,Huelva,13963.0,12.982,0.7207757637802723
41,060,Marchena,Sevilla,18764.0,13.878,0.7120639101740911
03,005,Albatera,Alicante/Alacant,13927.0,13.143,0.710674956242707
13,056,Miguelturra,Ciudad Real,16290.0,13.516,0.7105089322381299
21,072,Valverde del Camino,Huelva,12597.0,12.982,0.707801896042626
14,042,Montilla,Córdoba,21562.0,,0.7060886559481379
13,079,"Solana, La",Ciudad Real,14769.0,13.516,0.6960629199182471
41,007,"Algaba, La",Sevilla,16818.0,13.878,0.6935813723867854
11,016,Chipiona,Cádiz,19938.0,,0.6906643798090915
08,102,Igualada,Barcelona,42909.0,18.044,0.6888671875000001
30,020,Fortuna,Murcia,11642.0,13.337,0.6772135363056867
26,036,Calahorra,"Rioja, La",25608.0,15.589,0.6733552792600724
14,007,Baena,Córdoba,17762.0,,0.6699973694158864
45,142,Quintanar de la Orden,Toledo,10896.0,13.344,0.6697039473280213
01,036,Laudio/Llodio,Araba/Álava,17682.0,,0.6692375528573127
46,007,Albal,Valencia/València,17546.0,,0.6679458647077374
06,122,"Santos de Maimona, Los",Badajoz,7936.0,12.911,0.667836693712518
18,153,Peligros,Granada,12022.0,13.586,0.665729723148567
